zcta,cbsa_name,county_name,state_name,Apply Poverty ,Concentrated wealth per square mile,population_per_square_mile,income_per_capita,Median age - V1 x income per capita x V2 (income per capita*(median age-V1)*V2),Home equity per capita (housing units*%owner-occupied*median value)*V3,poverty_rate,pop_total,pop_total,area_land_sq_miles,median_age,median_age_male,median_age_female,pop_total_18_64,pop_pct_18_64,race_pct_nh_white,race_pct_nh_black,race_pct_nh_amerind_alaskan,race_pct_nh_asian,race_pct_nh_nhpi,race_pct_nh_other,race_pct_nh_two_plus,race_pct_hispanic,income_per_capita,income_median_hh,mean_travel_time_to_work,housing_units,hu_pct_occupied,occupied_hu_pct_owner_occupied,ZILLOW Typical Home Values,educ_pct_hs_grad,educ_pct_bachelors,educ_pct_postgrad,veteran_pct
94115,San Francisco-Oakland-Berkeley,San Francisco County,California,5038198440,6823584380,29303,112352,144934.08,87929.0101,0.13082464,33299,33299,1.136368748,37.9,37,39,23232,0.697678609,0.496681582,0.117721253,0.000810835,0.195201057,0,0.019610199,0.06702904,0.102946034,112352,149927,30,19498,0.85839576,0.2557806,1367880.44,0.08038226,0.42178145,0.31208077,0.03147667
11216,New York-Newark-Jersey City,Kings County,New York,4568903854,6797423723,64845,54361,50012.12,54814.38319,0.16392386,62373,62373,0.961885525,34.2,34.8,33.4,45943,0.73658474,0.300691004,0.441056226,0.000529075,0.046462412,0.000368749,0.011351065,0.063921889,0.135619579,54361,92684,42.2,28596,0.9200937,0.25305006,1027016.38,0.18747146,0.33701292,0.20755696,0.018408516
10033,New York-Newark-Jersey City,New York County,New York,4530488600,6720702707,98434,44492,53390.4,14885.56257,0.16294532,58711,58711,0.596448052,37,34.1,41.6,40686,0.692987685,0.233482652,0.035564034,0.001771389,0.033043212,0,0.004956482,0.019280884,0.671901347,44492,77209,42,21980,0.93362147,0.1473125,578198.03,0.17806336,0.21480769,0.17451264,0.017268993
94108,San Francisco-Oakland-Berkeley,San Francisco County,California,4204745513,6691585878,46788,63658,117130.72,25889.30849,0.18581846,12070,12070,0.257973487,43.4,40.9,45.6,7988,0.661806131,0.293703397,0.016072908,0.005965203,0.570836785,0,0.006296603,0.062137531,0.044987572,63658,68768,26.7,7967,0.8137317,0.10103347,954149.43,0.15673856,0.2851771,0.18266377,0.025685558
94110,San Francisco-Oakland-Berkeley,San Francisco County,California,5329269308,6678639707,29156,90333,126466.2,102596.098,0.10102135,69679,69679,2.389832745,39,38.7,39.3,50306,0.721967881,0.416337778,0.044690653,0.002023565,0.150561862,0.000875443,0.00630032,0.061223611,0.317986768,90333,152115,31.3,30575,0.8902698,0.40720057,1289930.36,0.1134323,0.34038633,0.26776963,0.022680933
94123,San Francisco-Oakland-Berkeley,San Francisco County,California,6044531735,6639393843,23047,159220,138521.4,149553.4756,0.044797923,24721,24721,1.072612827,33.7,33.6,33.7,18683,0.755754217,0.734072246,0.004085595,0.002305732,0.101209498,0.004571012,0.002952955,0.061364832,0.08943813,159220,211854,32.6,14847,0.857547,0.28463712,2040348.55,0.033032436,0.52529514,0.3377641,0.026386946
7030,New York-Newark-Jersey City,Hudson County,New Jersey,5471198778,6499085110,47029,102492,71744.4,66448.34768,0.07907931,58754,58754,1.24931072,32,32.1,31.9,46278,0.787657011,0.636177962,0.033546652,0.000748885,0.123855397,0,0.005259216,0.041001464,0.159410423,102492,168137,37.4,30211,0.9228096,0.34395063,814288.51,0.076024055,0.48713717,0.3227462,0.010930052
7030,New York-Newark-Jersey City,Hudson County,New Jersey,5471198778,6499085110,47029,102492,71744.4,66448.34768,0.07907931,58754,58754,1.24931072,32,32.1,31.9,46278,0.787657011,0.636177962,0.033546652,0.000748885,0.123855397,0,0.005259216,0.041001464,0.159410423,102492,168137,37.4,30211,0.9228096,0.34395063,814288.51,0.076024055,0.48713717,0.3227462,0.010930052
80290,Denver-Aurora-Lakewood,Denver County,Colorado,6496018394,6496018394,46381,76535,140059.05,0,0,349,349,0.007524703,43.3,48.1,33.5,349,1,0.532951289,0,0,0.085959885,0,0,0,0.381088825,76535,112688,15.7,263,1,0,0,0.19871795,0.4679487,0.28525642,0
77046,Houston-The Woodlands-Sugar Land,Harris County,Texas,5487896747,6313598648,11708,124540,469515.8,69753.93156,0.06539075,1254,1254,0.107109159,62.7,66.2,59.2,647,0.515948963,0.584529506,0.159489633,0,0.092503987,0,0,0,0.163476874,124540,145567,16.6,1161,0.87510765,0.5423228,317500.68,0.101608805,0.31414056,0.3590178,0.072231136
